sector,comuna,municipio,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local
EL POBLADO,14.0,MEDELLÍN,2850000,,3420000,,4275000,
LAURELES,11.0,MEDELLÍN,2200000,,2640000,,3300000,
BELÉN,16.0,MEDELLÍN,1850000,,2220000,,2775000,
CASTILLA,5.0,MEDELLÍN,1150000,,1380000,,1725000,
ROBLEDO,7.0,MEDELLÍN,1300000,,1560000,,1950000,
BUENOS AIRES,9.0,MEDELLÍN,1400000,,1680000,,2100000,
LA CANDELARIA,10.0,MEDELLÍN,1650000,,1980000,,2475000,
SAN JAVIER,13.0,MEDELLÍN,1450000,,1740000,,2175000,
MANRIQUE,3.0,MEDELLÍN,1100000,,1320000,,1650000,
VILLA HERMOSA,8.0,MEDELLÍN,1250000,,1500000,,1875000,
DOCE DE OCTUBRE,6.0,MEDELLÍN,1200000,,1440000,,1800000,
GUAYABAL,15.0,MEDELLÍN,1700000,,2040000,,2550000,
ARANJUEZ,4.0,MEDELLÍN,1250000,,1500000,,1875000,
POPULAR,1.0,MEDELLÍN,950000,,1140000,,1425000,
SANTA CRUZ,2.0,MEDELLÍN,1000000,,1200000,,1500000,
LA AMÉRICA,12.0,MEDELLÍN,1750000,,2100000,,2625000,
ENVIGADO,NAN,ENVIGADO,2600000,,3120000,,3900000,
ITAGÜÍ,NAN,ITAGÜÍ,1600000,,1920000,,2400000,
BELLO,NAN,BELLO,1200000,,1440000,,1800000,
SABANETA,NAN,SABANETA,2400000,,2880000,,3600000,
LA ESTRELLA,NAN,LA ESTRELLA,1550000,,1860000,,2325000,
CALDAS,NAN,CALDAS,1150000,,1380000,,1725000,
COPACABANA,NAN,COPACABANA,1100000,,1320000,,1650000,
GIRARDOTA,NAN,GIRARDOTA,1050000,,1260000,,1575000,
BARBOSA,NAN,BARBOSA,950000,,1140000,,1425000,
