comuna,anio,casos
1,2003,92
1,2004,94
1,2005,88
1,2006,91
1,2007,54
1,2008,242
1,2009,139
1,2010,98
1,2011,93
1,2012,94
1,2013,152
1,2014,120
1,2015,235
1,2016,267
1,2017,346
1,2018,445
1,2019,520
1,2020,515
1,2021,587
1,2022,700
1,2023,479
1.0,2003,119
1.0,2004,36
1.0,2005,24
1.0,2006,23
1.0,2007,24
1.0,2008,39
1.0,2009,180
1.0,2010,133
1.0,2011,25
1.0,2012,37
1.0,2013,20
1.0,2014,13
1.0,2015,8
1.0,2016,15
1.0,2017,12
1.0,2018,12
1.0,2019,21
1.0,2020,11
1.0,2021,12
1.0,2022,12
1.0,2023,13
10,2003,3472
10,2004,3054
10,2005,3422
10,2006,1711
10,2007,1506
10,2008,2010
10,2009,1833
10,2010,1532
10,2011,1747
10,2012,2370
10,2013,3373
10,2014,4238
10,2015,6389
10,2016,7511
10,2017,10906
10,2018,13387
10,2019,15429
10,2020,9306
10,2021,9806
10,2022,11260
10,2023,6737
10.0,2003,226
10.0,2004,165
10.0,2005,102
10.0,2006,122
10.0,2007,105
10.0,2008,129
10.0,2009,202
10.0,2010,201
10.0,2011,168
10.0,2012,145
10.0,2013,142
10.0,2014,116
10.0,2015,90
10.0,2016,98
10.0,2017,103
10.0,2018,108
10.0,2019,87
10.0,2020,58
10.0,2021,80
10.0,2022,75
10.0,2023,70
11,2003,3370
11,2004,2422
11,2005,1901
11,2006,1659
11,2007,1107
11,2008,1537
11,2009,1402
11,2010,970
11,2011,1061
11,2012,1027
11,2013,1479
11,2014,1644
11,2015,1814
11,2016,3021
11,2017,4320
11,2018,6481
11,2019,7240
11,2020,3590
11,2021,4963
11,2022,6382
11,2023,3407
11.0,2003,69
11.0,2004,65
11.0,2005,33
11.0,2006,34
11.0,2007,29
11.0,2008,40
11.0,2009,78
11.0,2010,51
11.0,2011,41
11.0,2012,45
11.0,2013,38
11.0,2014,30
11.0,2015,28
11.0,2016,21
11.0,2017,23
11.0,2018,32
11.0,2019,25
11.0,2020,9
11.0,2021,17
11.0,2022,19
11.0,2023,15
12,2003,1480
12,2004,900
12,2005,663
12,2006,748
12,2007,435
12,2008,548
12,2009,608
12,2010,438
12,2011,423
12,2012,415
12,2013,620
12,2014,658
12,2015,852
12,2016,1273
12,2017,1566
12,2018,2461
12,2019,2487
12,2020,1747
12,2021,2069
12,2022,2064
12,2023,1188
12.0,2003,34
12.0,2004,37
12.0,2005,24
12.0,2006,23
12.0,2007,20
12.0,2008,20
12.0,2009,43
12.0,2010,40
12.0,2011,39
12.0,2012,26
12.0,2013,22
12.0,2014,8
12.0,2015,9
12.0,2016,14
12.0,2017,12
12.0,2018,30
12.0,2019,35
12.0,2020,10
12.0,2021,7
12.0,2022,4
12.0,2023,5
13,2003,264
13,2004,215
13,2005,206
13,2006,183
13,2007,140
13,2008,223
13,2009,201
13,2010,128
13,2011,186
13,2012,247
13,2013,263
13,2014,277
13,2015,437
13,2016,536
13,2017,662
13,2018,883
13,2019,1062
13,2020,810
13,2021,1018
13,2022,1001
13,2023,883
13.0,2003,72
13.0,2004,38
13.0,2005,39
13.0,2006,45
13.0,2007,64
13.0,2008,87
13.0,2009,188
13.0,2010,228
13.0,2011,220
13.0,2012,162
13.0,2013,114
13.0,2014,64
13.0,2015,30
13.0,2016,38
13.0,2017,48
13.0,2018,92
13.0,2019,47
13.0,2020,25
13.0,2021,21
13.0,2022,29
13.0,2023,11
14,2003,1246
14,2004,1028
14,2005,1278
14,2006,642
14,2007,858
14,2008,1232
14,2009,917
14,2010,908
14,2011,601
14,2012,667
14,2013,1116
14,2014,980
14,2015,1200
14,2016,2382
14,2017,3701
14,2018,5629
14,2019,6219
14,2020,3342
14,2021,4976
14,2022,5311
14,2023,3379
14.0,2003,27
14.0,2004,20
14.0,2005,13
14.0,2006,18
14.0,2007,17
14.0,2008,16
14.0,2009,19
14.0,2010,22
14.0,2011,17
14.0,2012,6
14.0,2013,7
14.0,2014,11
14.0,2015,5
14.0,2016,8
14.0,2017,7
14.0,2018,11
14.0,2019,9
14.0,2020,2
14.0,2021,9
14.0,2022,6
14.0,2023,8
15,2003,1254
15,2004,1242
15,2005,1012
15,2006,454
15,2007,407
15,2008,391
15,2009,539
15,2010,392
15,2011,365
15,2012,620
15,2013,692
15,2014,628
15,2015,820
15,2016,1232
15,2017,1541
15,2018,2412
15,2019,2432
15,2020,1637
15,2021,1862
15,2022,1881
15,2023,1025
15.0,2003,54
15.0,2004,47
15.0,2005,38
15.0,2006,36
15.0,2007,48
15.0,2008,48
15.0,2009,57
15.0,2010,66
15.0,2011,69
15.0,2012,56
15.0,2013,35
15.0,2014,29
15.0,2015,28
15.0,2016,26
15.0,2017,26
15.0,2018,30
15.0,2019,25
15.0,2020,7
15.0,2021,14
15.0,2022,14
15.0,2023,10
16,2003,2528
16,2004,2252
16,2005,1392
16,2006,1312
16,2007,623
16,2008,570
16,2009,1108
16,2010,612
16,2011,703
16,2012,1194
16,2013,1067
16,2014,1177
16,2015,1528
16,2016,1980
16,2017,2891
16,2018,4011
16,2019,4089
16,2020,3072
16,2021,4004
16,2022,3846
16,2023,2138
16.0,2003,67
16.0,2004,71
16.0,2005,45
16.0,2006,51
16.0,2007,37
16.0,2008,66
16.0,2009,105
16.0,2010,97
16.0,2011,110
16.0,2012,79
16.0,2013,52
16.0,2014,34
16.0,2015,31
16.0,2016,33
16.0,2017,48
16.0,2018,41
16.0,2019,52
16.0,2020,27
16.0,2021,27
16.0,2022,25
16.0,2023,18
2,2003,130
2,2004,86
2,2005,88
2,2006,68
2,2007,60
2,2008,110
2,2009,108
2,2010,63
2,2011,87
2,2012,66
2,2013,142
2,2014,105
2,2015,201
2,2016,274
2,2017,298
2,2018,369
2,2019,455
2,2020,373
2,2021,516
2,2022,530
2,2023,413
2.0,2003,115
2.0,2004,59
2.0,2005,20
2.0,2006,17
2.0,2007,13
2.0,2008,31
2.0,2009,62
2.0,2010,93
2.0,2011,28
2.0,2012,29
2.0,2013,20
