seguridad.nombre_barrio,promedio_robos,casos_totales,nivel_geo,seguridad.codigo_barrio,seguridad.codigo_comuna,zona_clave,municipio_x,promedio_robos_municipio,casos_municipio,departamento,sector,comuna,municipio_y,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local,indice_riesgo,nivel_riesgo,alerta
,,,,,,ANTIOQUIA|ABEJORRAL,ABEJORRAL,1.0,48.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ABRIAQUI,ABRIAQUI,,1.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ALEJANDRIA,ALEJANDRIA,1.25,11.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|AMAGA,AMAGA,1.28125,201.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|AMALFI,AMALFI,1.3666666666666667,114.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ANDES,ANDES,1.4464285714285714,204.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ANGELOPOLIS,ANGELOPOLIS,1.3333333333333333,21.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ANGOSTURA,ANGOSTURA,1.25,39.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ANORI,ANORI,1.1666666666666667,42.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ANZA,ANZA,1.0,15.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|APARTADO,APARTADO,2.9875,1146.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ARBOLETES,ARBOLETES,1.0,67.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ARGELIA,ARGELIA,1.0,7.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|ARMENIA,ARMENIA,,6.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|BARBOSA,BARBOSA,1.9210526315789473,541.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|BELLO,BELLO,24.557291666666668,11682.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|BELMIRA,BELMIRA,1.1428571428571428,17.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|BETANIA,BETANIA,1.1538461538461537,31.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|BETULIA,BETULIA,1.0714285714285714,49.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|BRICENO,BRICENO,1.0,14.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|BURITICA,BURITICA,1.0909090909090908,55.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CACERES,CACERES,1.1666666666666667,58.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CAICEDO,CAICEDO,1.0,19.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CALDAS,CALDAS,2.3448275862068964,846.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CAMPAMENTO,CAMPAMENTO,1.0,7.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CANASGORDAS,CANASGORDAS,1.0,54.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CARACOLI,CARACOLI,1.0,6.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CARAMANTA,CARAMANTA,1.5,9.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CAREPA,CAREPA,1.3289473684210527,268.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CAROLINA,CAROLINA,1.1,18.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CAUCASIA,CAUCASIA,2.2885906040268456,926.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CHIGORODO,CHIGORODO,1.5569620253164558,298.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CISNEROS,CISNEROS,1.1578947368421053,73.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|CIUDAD BOLIVAR,CIUDAD BOLIVAR,1.1951219512195121,96.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
,,,,,,ANTIOQUIA|COCORNA,COCORNA,1.2564102564102564,95.0,ANTIOQUIA,,,,,,,,,,,Sin datos,Sin datos
